book_id,sku,title,title_norm,price,original_price,discount,discount_rate,quantity_sold,rating_average,review_count,source_keys,source_keys_norm,source_key_count,source_modes,fetched_at_first,fetched_at_last,tiki_url,url_path,match_text_norm,popularity_score
277718321,5630141367211,Luật nhà ở 2023 (song ngữ Việt Anh) The 2023 Housing Law (Vietnamese -English),luat nha o 2023 song ngu viet anh the 2023 housing law vietnamese english,215000,215000,0,0,,0.0,0,economic law,economic law,1,search,2026-05-27T08:50:26Z,2026-05-27T08:50:26Z,https://tiki.vn/luat-nha-o-2023-song-ngu-viet-anh-the-2023-housing-law-vietnamese-english-p277718321.html?spid=277718322,luat-nha-o-2023-song-ngu-viet-anh-the-2023-housing-law-vietnamese-english-p277718321.html?spid=277718322,luat nha o 2023 song ngu viet anh the 2023 housing law vietnamese english economic law,0.0
271219471,2765828992037,Law of lavender – Thiên nga quần hội - Thái Hà Books,law of lavender thien nga quan hoi thai ha books,140000,140000,0,0,,0.0,0,economic law,economic law,1,search,2026-05-27T08:50:26Z,2026-05-27T08:50:26Z,https://tiki.vn/law-of-lavender-thien-nga-quan-hoi-thai-ha-books-p271219471.html?spid=271219472,law-of-lavender-thien-nga-quan-hoi-thai-ha-books-p271219471.html?spid=271219472,law of lavender thien nga quan hoi thai ha books economic law,0.0
272284909,4213067897640,Law of lavender – Thiên nga quần hội,law of lavender thien nga quan hoi,140000,140000,0,0,,0.0,0,economic law,economic law,1,search,2026-05-27T08:50:26Z,2026-05-27T08:50:26Z,https://tiki.vn/law-of-lavender-thien-nga-quan-hoi-p272284909.html?spid=274672823,law-of-lavender-thien-nga-quan-hoi-p272284909.html?spid=274672823,law of lavender thien nga quan hoi economic law,0.0
271144175,3253882180370,Law of lavender – Thiên nga quần hội,law of lavender thien nga quan hoi,140000,140000,0,0,,0.0,0,economic law,economic law,1,search,2026-05-27T08:50:26Z,2026-05-27T08:50:26Z,https://tiki.vn/law-of-lavender-thien-nga-quan-hoi-p271144175.html?spid=271259808,law-of-lavender-thien-nga-quan-hoi-p271144175.html?spid=271259808,law of lavender thien nga quan hoi economic law,0.0
271712503,6638476089399,Tạp chí Tiếng Anh - Nikkei Asia 2023: kỳ 35: CHINA'S MISSING ECONOMIC BOOM,tap chi tieng anh nikkei asia 2023 ky 35 china s missing economic boom,145000,145000,0,0,5.0,5.0,1,economic law,economic law,1,search,2026-05-27T08:50:26Z,2026-05-27T08:50:26Z,https://tiki.vn/tap-chi-tieng-anh-nikkei-asia-2023-ky-35-china-s-missing-economic-boom-p271712503.html?spid=271712504,tap-chi-tieng-anh-nikkei-asia-2023-ky-35-china-s-missing-economic-boom-p271712503.html?spid=271712504,tap chi tieng anh nikkei asia 2023 ky 35 china s missing economic boom economic law,7.8315
271144217,2305208701875,Thiên nga quần hội - LAW OF LAVENDER,thien nga quan hoi law of lavender,108600,140000,31400,22,8.0,0.0,0,economic law,economic law,1,search,2026-05-27T08:50:26Z,2026-05-27T08:50:26Z,https://tiki.vn/sach-thien-nga-quan-hoi-law-of-lavender-p271144217.html?spid=271144218,sach-thien-nga-quan-hoi-law-of-lavender-p271144217.html?spid=271144218,thien nga quan hoi law of lavender economic law,2.1972
271084455,9975455364083,LAW OF LAVENDER – THIÊN NGA QUẦN HỘI - Leo Corner - Thái Hà -NXB Hà Nội,law of lavender thien nga quan hoi leo corner thai ha nxb ha noi,126000,126000,0,0,,0.0,0,economic law,economic law,1,search,2026-05-27T08:50:26Z,2026-05-27T08:50:26Z,https://tiki.vn/law-of-lavender-thien-nga-quan-hoi-leo-corner-thai-ha-nxb-ha-noi-p271084455.html?spid=271084456,law-of-lavender-thien-nga-quan-hoi-leo-corner-thai-ha-nxb-ha-noi-p271084455.html?spid=271084456,law of lavender thien nga quan hoi leo corner thai ha nxb ha noi economic law,0.0
253397095,9600706399041,Pháp chế doanh nghiệp - Những câu chuyện nghề - Hướng dẫn - Bình luận - Bài học (Tập 1),phap che doanh nghiep nhung cau chuyen nghe huong dan binh luan bai hoc tap 1,270000,270000,0,0,42.0,4.6,5,economic law,economic law,1,search,2026-05-27T08:50:26Z,2026-05-27T08:50:26Z,https://tiki.vn/phap-che-doanh-nghiep-nhung-cau-chuyen-nghe-huong-dan-binh-luan-bai-hoc-tap-1-p253397095.html?spid=253397096,phap-che-doanh-nghiep-nhung-cau-chuyen-nghe-huong-dan-binh-luan-bai-hoc-tap-1-p253397095.html?spid=253397096,phap che doanh nghiep nhung cau chuyen nghe huong dan binh luan bai hoc tap 1 economic law,11.0488
142441435,5803056474376,Đường vào nghề Pháp chế doanh nghiệp,duong vao nghe phap che doanh nghiep,238000,238000,0,0,132.0,5.0,18,economic law,economic law,1,search,2026-05-27T08:50:26Z,2026-05-27T08:50:26Z,https://tiki.vn/duong-vao-nghe-phap-che-doanh-nghiep-p142441435.html?spid=142441436,duong-vao-nghe-phap-che-doanh-nghiep-p142441435.html?spid=142441436,duong vao nghe phap che doanh nghiep economic law,14.307
59156440,8659551334632,Luật Doanh Nghiệp Năm 2020 Chính Sách Mới Nhằm Hỗ Trợ Phát Triển Doanh Nghiệp,luat doanh nghiep nam 2020 chinh sach moi nham ho tro phat trien doanh nghiep,250000,250000,0,0,48.0,5.0,4,luật doanh nghiệp,luat doanh nghiep,1,search,2026-05-27T08:50:29Z,2026-05-27T08:50:29Z,https://tiki.vn/luat-doanh-nghiep-nam-2020-chinh-sach-moi-nham-ho-tro-phat-trien-doanh-nghiep-p59156440.html?spid=65117138,luat-doanh-nghiep-nam-2020-chinh-sach-moi-nham-ho-tro-phat-trien-doanh-nghiep-p59156440.html?spid=65117138,luat doanh nghiep nam 2020 chinh sach moi nham ho tro phat trien doanh nghiep luat doanh nghiep,11.306
72639937,3294140396896,Luật Doanh Nghiệp Năm 2020 - Luật Hỗ Trợ Doanh Nghiệp Nhỏ Và Vừa Của Nước Cộng Hòa Xã Hội Chủ Nghĩa Việt Nam,luat doanh nghiep nam 2020 luat ho tro doanh nghiep nho va vua cua nuoc cong hoa xa hoi chu nghia viet nam,48600,69000,20400,30,137.0,4.8,26,luật doanh nghiệp,luat doanh nghiep,1,search,2026-05-27T08:50:29Z,2026-05-27T08:50:29Z,https://tiki.vn/sach-luat-doanh-nghiep-nam-2020-luat-ho-tro-doanh-nghiep-nho-va-vua-cua-nuoc-cong-hoa-xa-hoi-chu-nghia-viet-nam-p72639937.html?spid=72639938,sach-luat-doanh-nghiep-nam-2020-luat-ho-tro-doanh-nghiep-nho-va-vua-cua-nuoc-cong-hoa-xa-hoi-chu-nghia-viet-nam-p72639937.html?spid=72639938,luat doanh nghiep nam 2020 luat ho tro doanh nghiep nho va vua cua nuoc cong hoa xa hoi chu nghia viet nam luat doanh nghiep,14.671
273587428,2897933698056,Luật Thuế thu nhập doanh nghiệp (Hiện hành),luat thue thu nhap doanh nghiep hien hanh,42000,42000,0,0,20.0,0.0,0,luật doanh nghiệp; luật thương mại; luật thuế,luat doanh nghiep luat thuong mai luat thue,3,search,2026-05-27T08:50:29Z,2026-05-27T08:50:54Z,https://tiki.vn/luat-thue-thu-nhap-doanh-nghiep-hien-hanh-sua-doi-bo-sung-nam-2013-2014-2020-2022-2023-p273587428.html?spid=273587429,luat-thue-thu-nhap-doanh-nghiep-hien-hanh-sua-doi-bo-sung-nam-2013-2014-2020-2022-2023-p273587428.html?spid=273587429,luat thue thu nhap doanh nghiep hien hanh luat doanh nghiep luat thuong mai luat thue,3.0445
73550842,4590685737217,Luật Doanh Nghiệp - Luật Đầu Tư Được Quốc Hội Thông Qua Tại Kỳ Họp Thứ 9 Khóa XIV,luat doanh nghiep luat dau tu duoc quoc hoi thong qua tai ky hop thu 9 khoa xiv,297000,425000,128000,30,8.0,0.0,0,luật doanh nghiệp,luat doanh nghiep,1,search,2026-05-27T08:50:29Z,2026-05-27T08:50:29Z,https://tiki.vn/sach-luat-doanh-nghiep-luat-dau-tu-duoc-quoc-hoi-thong-qua-tai-ky-hop-thu-9-khoa-xiv-p73550842.html?spid=73550843,sach-luat-doanh-nghiep-luat-dau-tu-duoc-quoc-hoi-thong-qua-tai-ky-hop-thu-9-khoa-xiv-p73550842.html?spid=73550843,luat doanh nghiep luat dau tu duoc quoc hoi thong qua tai ky hop thu 9 khoa xiv luat doanh nghiep,2.1972
72801392,6028391961193,Luật Doanh Nghiệp Năm 2020,luat doanh nghiep nam 2020,70000,70000,0,0,288.0,5.0,43,luật doanh nghiệp,luat doanh nghiep,1,search,2026-05-27T08:50:29Z,2026-05-27T08:50:29Z,https://tiki.vn/luat-doanh-nghiep-nam-2020-p72801392.html?spid=75523808,luat-doanh-nghiep-nam-2020-p72801392.html?spid=75523808,luat doanh nghiep nam 2020 luat doanh nghiep,16.3427
95472864,1483376969532,LUẬT DOANH NGHIỆP 2020,luat doanh nghiep 2020,78000,78000,0,0,41.0,5.0,3,luật doanh nghiệp; luật thương mại,luat doanh nghiep luat thuong mai,2,search,2026-05-27T08:50:29Z,2026-05-27T08:50:36Z,https://tiki.vn/luat-doanh-nghiep-2020-p95472864.html?spid=95472865,luat-doanh-nghiep-2020-p95472864.html?spid=95472865,luat doanh nghiep 2020 luat doanh nghiep luat thuong mai,10.8171
